name,rating,address,description,openclose
BeanStalk Cafe,4.5(602) · $,724 Bush St,Intimate spot for coffee & global bites,Open ⋅ Closes 2:30 PM
Bernie's,4.6(190) · $,3966 24th St,Coffee & pastries in Victorian building,Open ⋅ Closes 2 PM
Biscoff Coffee Corner,4.3(731) · $$,213 Pier 39,Snug cafe with pastries & smoothies,Open ⋅ Closes 10 PM
Blue Bottle Coffee,4.3(696) · $$,"1 Ferry Building, 7",Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
Blue Bottle Coffee,"4.5(1,171) · $$",115 Sansome St,Hip cafe for gourmet pastries & coffee,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.5(87) · $$,1385 4th St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.5(264) · $$,168 2nd St,Hip cafe chain for coffee & pastries,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.3(202) · $$,199 Sutter St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5:30 PM
Blue Bottle Coffee,4.5(695) · $$,2 S Park St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.4(554) · $$,2453 Fillmore St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 7 PM
Blue Bottle Coffee,4.7(10) · $$,250 Howard St Suite 3A,Hip cafe for gourmet coffee & pastries,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri
Blue Bottle Coffee,4.6(804) · $$,315 Linden St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
Blue Bottle Coffee,4.2(34) · $$,55 S Van Ness Ave,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM · (510) 653-3394
Blue Bottle Coffee,4.3(203) · $$,705 Market St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM · (510) 653-3394
Blue Bottle Coffee,4.1(120) · $$,909 Montgomery St # 105,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Blue Danube Coffee House,4.2(338) · $$,306 Clement St,Artsy neighborhood cafe,Open ⋅ Closes 7 PM
Bluestone Lane Front Street Coffee Shop,4.3(134) · $$,227 Front St,Open ⋅ Closes 4 PM,
Bluestone Lane SOMA Coffee Shop,4.3(79) · $$,55 2nd St,Open ⋅ Closes 3 PM,
Bluestone Lane Theatre District Coffee Shop,4.1(108) · $$,562 Sutter St,Open ⋅ Closes 2 PM,
Bluestone Lane Union Square Coffee Shop,4.2(348) · $$,685 Market St,Airy spot for coffee & all-day eats,Open ⋅ Closes 2 PM
Cafe 22,5.0(1),325 Mason St,Open ⋅ Closes 6 PM,
Cafe 450,3.4(5),450 Golden Gate Ave,,
Cafe 5,3.9(46),151 3rd St,Open ⋅ Closes 4:30 PM,
Cafe Bean,4.3(103) · $,800 Sutter St,Cozy spot for espresso & light fare,Open ⋅ Closes 5 PM
Cafe Cafe San Francisco Coffee Company,0.0(0),388 9th St,Open ⋅ Closes 2 PM,
Cafe de Casa,4.7(919) · $,2701 Leavenworth St,"Brazilian coffee, pastry & lunch shop",Open ⋅ Closes 2 PM
Cafe de Casa,4.6(396),3985 17th St,Brazilian bites & coffee in a cozy space,Open ⋅ Closes 7 PM
Cafe Destijl,4.3(52) · $$,1 Union St,Temporarily closed,
Cafe Du Soleil,4.7(164),345 3rd St,Quaint French cafe & brunch spot,Open ⋅ Closes 3 PM
Cafe Encore,4.2(142) · $$,488 Post St,Open ⋅ Closes 7 PM,
Cafe Francisco,4.4(445) · $,2161 Powell St,Mediterranean & American eats plus art,Closed ⋅ Opens 9 AM Wed
Cafe Franco,4.8(45),240 Funston Rd,Open ⋅ Closes 3 PM,
Cafe International,4.5(406) · $,508 Haight St,Hybrid coffeehouse & live music hangout,Open ⋅ Closes 4:30 PM
Cafe Isabella,4.6(190) · $,1414 Taylor St,Cozy coffee shop & breakfast spot,Closed ⋅ Opens 8:30 AM Wed
Cafe La Flore Irving,4.6(305) · $,1340 Irving St,Light cafe fare & coffee in chill digs,Open ⋅ Closes 6 PM · (415) 524-5203
Cafe La Taza,4.4(763) · $$,2475 Mission St,Laid-back hangout for cafe fare,Open ⋅ Closes 2:30 PM
Cafe La Tazita,4.3(435),470 Post St,No-frills breakfast & lunch venue,Open ⋅ Closes 2:30 PM
Cafe Le,4.7(73),2895 Van Ness Ave,Open ⋅ Closes 2:30 PM,
Cafe Me,4.6(134) · $,500 Washington St,Daytime stop for coffee & sandwiches,Closed ⋅ Opens 5:30 AM Fri
Cafe Murano,4.3(93) · $,1777 Steiner St,Cozy coffee bar with outdoor seating,Open ⋅ Closes 1:30 PM
Cafe New Honolulu,3.8(186) · $,888 Stockton St,Cash-only Chinese restaurant & bakery,Open ⋅ Closes 7:30 PM
Cafe Pacific Plaza,4.8(101) · $,1338 Franklin St,Open ⋅ Closes 3:30 PM,
Cafe Réveille,4.1(163),1998 Polk St,Open ⋅ Closes 7:30 PM,
Cafe Réveille,4.5(515) · $$,201 Steiner St,Modern cafe with New American fare,Open ⋅ Closes 7:30 PM
Cafe Réveille,4.4(730) · $$,610 Long Bridge Street,Coffee & brunch in stylish surrounds,Open ⋅ Closes 5 PM
Cafe Reverie,4.4(408) · $$,848 Cole St,Cozy coffeehouse with a garden patio,Open ⋅ Closes 8 PM
Cafe Suspiro,4.8(169) · $,1246 Folsom St,"Hip, scooter-themed espresso bar",Open ⋅ Closes 4 PM
Cafe Valencia,4.5(159),1252 Valencia St,Local market for Brazilian groceries,Open ⋅ Closes 6 PM
Cafecito,4.7(112) · $,406 Ellis St,Colorful cafe for sandwiches & coffee,Open ⋅ Closes 6 PM
Caffe Bianco,4.6(165) · $,39 Sutter St,Classic coffee shop with sandwiches,Open ⋅ Closes 2:30 PM
Caffe Capriccio,4.6(233) · $,2200 Mason St,Relaxed spot for sandwiches & salads,Open ⋅ Closes 4 PM
Caffe Central,4.3(657) · $$,133 O'Farrell St,Gourmet roasts in a cool coffee shop,Open ⋅ Closes 6 PM
Caffe Greco,"4.5(1,196) · $$",423 Columbus Ave,Espresso drinks & Italian sweets,Open ⋅ Closes 10 PM
Caffe Moda,4.2(107) · $,160 7th St,Casual spot for breakfast & lunch,Open ⋅ Closes 2 PM
Caffe Trieste,"4.5(1,334) · $",601 Vallejo St.,Historic spot for coffee & live music,Open ⋅ Closes 10 PM
Capital One Café,4.3(194) · $,101 Post St,Modern coffeehouse with free WiFi,Open ⋅ Closes 6 PM
Castro Coffee Company,4.6(234) · $,427 Castro St,Shop with wide selection of beans & teas,Open ⋅ Closes 8 PM
Cavalli Cafe,4.5(263) · $,1441 Stockton St,Espresso bar with Italian treats & music,Open ⋅ Closes 11 PM
Central Coffee Tea & Spice,4.6(154) · $,1696 Hayes St,Neighborhood coffee shop with cafe fare,Open ⋅ Closes 2 PM
Chuck Williams Cafe,5.0(1),1101 Van Ness Ave,Open ⋅ Closes 6 PM,
Church Street Cafe,4.2(222) · $,260 Church St,Coffee & WiFi in an exposed-brick space,Open ⋅ Closes 5 PM
Coffee Bar Montgomery,4.5(115) · $,101 Montgomery St,Locally roasted coffee & cafe fare,Closes soon ⋅ 12 PM ⋅ Opens 7 AM Tue
Coffee Bar-Kearny,5.0(19),433 Kearny St,Casual cafe with carefully sourced beans,Closes soon ⋅ 12 PM ⋅ Opens 7 AM Tue
Coffee Bodega Farm-to-Table,4.7(212),1 California St,Open ⋅ Closes 5 PM,
Coffee Cultures,5.0(12),655 Montgomery St,Closed ⋅ Opens 7 AM Fri,
Coffee Outthere,4.9(7),1644 Haight St,Closed ⋅ Opens 1 PM,
Coffee Roastery,4.4(358) · $,2331 Chestnut St,Old-school hangout with baked goods,Open ⋅ Closes 2 PM · (415) 931-5282
Coffee To The People,4.3(518) · $,1206 Masonic Ave,Indie coffee shop,Open ⋅ Closes 6 PM
CoffeeShop,4.8(144),2761 21st St,"Espresso, tea, pastries & sidewalk seats",Open ⋅ Closes 5 PM
CoffeeShop,4.7(233) · $,3139 Mission St,Locally roasted beans & sweet treats,Open ⋅ Closes 4 PM
CoffeeSmith,4.7(40),401 Golden Gate Ave,Open ⋅ Closes 2:30 PM,
Coit Tower Cafe,3.7(9),Coit Tower,Open ⋅ Closes 6 PM,
Compton’s Coffee House,4.8(172),1910 Fillmore St,Open ⋅ Closes 5 PM,
Cozy Cafe,4.7(127) · $,965 Sutter St C,Open ⋅ Closes 2 PM,
Cumaica  Artesanos del Cafe,4.4(277) · $,1398 Mission St,Caffeine cafe with creative drinks,Open ⋅ Closes 2 PM
Cup A Joe Coffeehouse,4.3(354) · $,896 Sutter St,Laid-back neighborhood coffee shop,Open ⋅ Closes 7 PM
Daily Habit,4.9(13),1 Maritime Plz,Closed ⋅ Opens 6 AM Fri,
Darren's Café,4.5(703) · $$,2731 Taylor St,Asian/American breakfast & lunch eats,Open ⋅ Closes 1:30 PM
de Young Café,3.9(122),50 Hagiwara Tea Garden Dr,Art-inspired items in a historic center,Closed ⋅ Opens 9:30 AM Tue
Delah Coffee,4.8(487) · $,370 4th St,Open ⋅ Closes 11 PM · (415) 377-2444,
Dolores Park Cafe,4.2(752) · $$,501 Dolores St,Organic eats & sunny parkside hangout,Open ⋅ Closes 5 PM
Duboce Park Cafe,4.3(871) · $$,2 Sanchez St,Coffee shop with organic eats,Open ⋅ Closes 5 PM
Dynamo Donut + Coffee,4.3(123) · $,110 Yacht Rd,Walk-up spot for inventive baked treats,Closed ⋅ Opens 8 AM Wed · (415) 920-1978
EA Cafe,4.8(66) · $$,735 3rd St,To-go spot for poke bowls & ice cream,Open ⋅ Closes 8 PM
Earth's Coffee,4.7(91) · $,3400 Geary Blvd,Coffee/tea cafe with sandwiches & snacks,Open ⋅ Closes 3 PM · (415) 933-8628
El Cafetazo,4.0(121) · $,3087 16th St,Coffee shop & juice bar,Open ⋅ Closes 3 PM
Enter The Cafe,4.4(106) · $,1401 Powell St,Bright corner coffee shop with ice cream,Open ⋅ Closes 7 PM
Equator Coffees,3.8(311) · $,Golden Gate Brg,"Hip spot for coffee, tea & light eats",Open ⋅ Closes 6 PM
Excelsior Coffee,4.7(189),4495 Mission St,Pint-sized coffee shop with pastries,Open ⋅ Closes 4 PM · (415) 347-7333
Farley's Coffeehouse,4.6(571) · $,1315 18th St,Contemporary cafe for baked fare & lunch,Open ⋅ Closes 6 PM
Fayes,4.5(109) · $,3614 18th St,Open ⋅ Closes 3 PM,
fifty fifty,4.5(278) · $,3157 Geary Blvd,Simple cafe with local coffee & pastries,Open ⋅ Closes 4 PM · (415) 684-8886
Fillmore Street Cafe,4.2(151) · $,1301 Fillmore St,Casual cafe for deli sandwiches & salads,Open ⋅ Closes 9 PM
First Cup Café,4.4(52),2911 Van Ness Ave,Open ⋅ Closes 4 PM,
Flywheel Coffee Roasters,4.5(963),672 Stanyan St,Minimalist spot for hand-roasted java,Open ⋅ Closes 6 PM
Foghorn Coffee,3.8(30),900 North Point St Suite E204B,Open ⋅ Closes 7 PM,
Foundation Cafe,4.5(160) · $$,335 Kearny St,Quick stop for sustainable American eats,Open ⋅ Closes 3 PM
Four Barrel Coffee,"4.5(2,400) · $$",375 Valencia St,Sophisticated drip coffee drinks & more,Open ⋅ Closes 5 PM
Fresh Brew Coffee,4.8(494) · $,882 Bush St,"Cozy, American-Vietnamese sandwich spot",Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
FRONT EXHIBITS & CAFE,4.7(30),498 Alabama St,Open ⋅ Closes 3 PM,
Fueling Station Cafe,4.6(215) · $,2436 Polk St,"Cafe for banh mi, waffles & coffee",Open ⋅ Closes 5 PM
Garage Cafe,4.4(18) · $,320 11th St,Open ⋅ Closes 10 PM,
Goody Cafe,4.4(76),Landmark Building C 2 Marina Blvd,Open ⋅ Closes 5 PM,
Graffeo Coffee Roasting Co.,4.7(70),735 Columbus Ave,Coffeehouse with signature roasts,Open ⋅ Closes 5 PM · (800) 222-6250
Grand Coffee,4.7(159) · $,2663 Mission St,"Locally sourced coffee, tea & pastries",Open ⋅ Closes 5 PM
Grand Coffee Too,4.8(56),2544 Mission St,Open ⋅ Closes 5 PM,
Grand Parade Coffee,4.7(12),1390 Market St #200,Open ⋅ Closes 5 PM · (510) 730-0447,
Haus Coffee,4.4(484) · $$,3086 24th St,Coffee & light bites in a simple setting,Open ⋅ Closes 3 PM
Hazie's,4.3(99),501 Hayes St,Closed ⋅ Opens 11:30 AM Tue,
Hedge Coffee,4.8(82),434 Shotwell St,,
Henry's House of Coffee,4.6(406) · $,1618 Noriega St,Area stalwart with hand-roasted beans,Open ⋅ Closes 5 PM
Hermanos Coffee + Juice,4.7(26),650 California St,Temporarily closed,
Hideaway Cafe,4.7(182),Laundry · 850 Jones St,Closed ⋅ Opens 8 AM Fri,
Higher Grounds Coffee House,4.6(275) · $$,691 Chenery St,Chill cafe with a neighborhood vibe,Closed ⋅ Opens 8 AM Tue
HITW Coffee,4.7(198) · $,524 Union St,Open ⋅ Closes 4 PM,
Hollywood Cafe,"4.5(2,160) · $$",530 North Point St,Cinema-themed cafe,Open ⋅ Closes 2 PM
Home Coffee Roasters,4.6(554) · $$,1222 Noriega St,Modern space for creative lattes & toast,Open ⋅ Closes 4 PM · (415) 683-5943
Home Coffee Roasters,4.6(440) · $$,2018 Clement St,Modern hangout for coffee & lights bites,Open ⋅ Closes 4 PM · (415) 702-9244
Home Coffee Roasters,4.7(350) · $,455 Grant Ave,Open ⋅ Closes 4 PM,
Honey Honey Cafe & Crepery,"4.3(3,423) · $$",599 Post St,Sweet & savory crêpe specialist,Open ⋅ Closes 3 PM
Hyatt Coffee Bar,3.7(32),345 Stockton St,Modern hotel lobby cafe with free Wi-Fi,Closes soon ⋅ 1 PM ⋅ Opens 6:30 AM Tue · (415) 398-1234
Hyatt Regency Cafe,5.0(4),Hyatt Regency San Francisco 5 Embarcadero Ctr,,
Il Canto Cafe,4.7(290) · $,475 Sacramento St,Mellow option with coffee & light fare,Open ⋅ Closes 4 PM
Ilana Coffee,4.6(160) · $,2314 Clement St,"Vietnamese fare, espresso & bubble tea",Open ⋅ Closes 5 PM · (415) 387-2313
Iron Horse Coffee Shop,4.5(108) · $,25 Maiden Ln,"Snug, modern coffee shop",Open ⋅ Closes 2:30 PM
Jackson Place Café,4.6(76) · $,633 Battery St,Breakfast & lunch kiosk with a courtyard,Open ⋅ Closes 2:30 PM
Jane on Fillmore,4.2(823) · $$,2123 Fillmore St,Modern coffee shop with in-house bakery,Open ⋅ Closes 4 PM
Jane on Larkin,4.4(635) · $$,925 Larkin St,"Hip cafe with sandwiches, coffee & more",Open ⋅ Closes 4 PM
Java Beach At The Zoo,4.4(607) · $,2650 Sloat Blvd,Independent cafe with outdoor seating,Open ⋅ Closes 5 PM · (415) 731-2965
Java Beach Cafe,"4.4(1,424) · $$",1396 La Playa St,Coffeehouse a few steps from the beach,Open ⋅ Closes 5 PM · (415) 665-5282
Java Supreme,4.5(108) · $,703 Guerrero St,"Low-key, daytime cafe & sandwich shop",Open ⋅ Closes 2 PM
Javalencia,4.3(73),1594 Market St,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri,
Joe's Coffee Shop,4.4(147) · $,6134 Geary Blvd,Cash-only mainstay for daytime dishes,Open ⋅ Closes 3 PM
Joy's Place,4.3(395) · $,611 Post St,Cozy coffee shop with Asian desserts,Open ⋅ Closes 8 PM
Karma Cafe,4.5(117) · $$,1901 Hayes St,Open ⋅ Closes 3 PM,
La Boulangerie de San Francisco,4.2(809) · $$,500 Hayes St,Cafe chain with American & French fare,Open ⋅ Closes 5 PM
La Promenade Café,4.5(431) · $,3643 Balboa St,"Airy space for coffee, bagels & lunch",Open ⋅ Closes 5 PM
Lady Falcon Coffee Club,4.3(89),Park,Vintage coffee truck for espresso drinks,Closed ⋅ Opens 9 AM Thu
Lafayette Coffee Shop,4.2(206) · $,611 Larkin St,Open ⋅ Closes 9 PM,
Le Cafe du Soleil,4.5(544) · $,400 Waller St,French bistro with sidewalk seating,Open ⋅ Closes 5 PM
Le Petit Cafe,4.3(8) · $,1 Maritime Plz # Grnd,Counter serve for breakfast & lunch fare,Open ⋅ Closes 5 PM
Linea Caffe,4.5(334) · $$,3417 18th St,Snug cafe offering organic coffees,Open ⋅ Closes 2 PM
Linea Coffee Roasting + Caffe,4.6(161),1125 Mariposa St,Open ⋅ Closes 4 PM,
Maggie's Cafe,3.1(104),848 Grant Ave,Open ⋅ Closes 4 PM,Closes soon ⋅ 2 PM ⋅ Opens 7 AM Fri
Martha & Brothers Coffee Company,4.5(297) · $,3868 24th St,Low-key stop for coffee & baked goods,Open ⋅ Closes 7:30 PM
Matching Half,4.5(383) · $$,1799 McAllister St,Arty coffee shop with light fare,Open ⋅ Closes 3 PM
Maxfield's House of Caffeine,4.2(274) · $,398 Dolores St,Neighborhood joint for coffee & pastries,Open ⋅ Closes 2 PM
Mazarine Coffee,"4.5(1,520) · $$",720 Market St,Stylish cafe for espresso & light bites,Open ⋅ Closes 3 PM
Mercury Cafe,4.4(314) · $$,201 Octavia St,Light-filled space with an organic menu,Open ⋅ Closes 3 PM
Milk-SF,4.7(76),302 Valencia St,Closed ⋅ Opens 9 AM Tue,
Mission Blue,5.0(149),144 Leland Ave,Modern retail shop for coffee & pastries,Open ⋅ Closes 3 PM
Mo'z Cafe,"4.2(1,173) · $$",36 5th St,Neighborhood cafe known for breakfast,Open ⋅ Closes 2 PM
Moka Coffee,4.0(141) · $,1605 Polk St,Local coffeehouse with pastries & WiFi,Open ⋅ Closes 3 PM
Morning Brew Coffee & Tea,3.6(20) · $$,401 Sansome St,Unassuming stop for banh mi & espresso,Open ⋅ Closes 3 PM
Muddy Waters Coffee House,4.1(292) · $,521 Valencia St,No-frills coffee shop,Open ⋅ Closes 3 PM
Müesi Cafe,4.5(124),2055 Union St Suite B,Open ⋅ Closes 5:30 PM,
Mymy,"4.5(1,620) · $$",1500 California St,Bright corner spot for big breakfasts,Open ⋅ Closes 2 PM
Neighbor's Corner,4.7(300) · $,499 Douglass St,Modern corner coffee shop with pastries,Open ⋅ Closes 3 PM
Nina's Cafe,4.3(18),201 Fell St,Corner deli & coffee shop,Open ⋅ Closes 3 PM
Noe Cafe,4.7(281),1299 Sanchez St,Intimate spot for coffee & snacks,Open ⋅ Closes 6 PM
Not Latte,4.6(44),2142 Irving St,Open ⋅ Closes 5 PM · (415) 702-6326,
Pat's Cafe,"4.5(1,334) · $$",2330 Taylor St,American eatery with a laid-back brunch,Open ⋅ Closes 2 PM
Peet's Coffee,4.3(466) · $,1400 Mission St Suite 130,Coffeehouse chain also known for its tea,Open ⋅ Closes 4 PM
Peet's Coffee,3.8(24) · $,155 Montgomery St #161,Coffeehouse chain also known for its tea,Open ⋅ Closes 6 PM
Peet's Coffee,4.2(228) · $,160 Jefferson St,Coffeehouse chain also known for its tea,Open ⋅ Closes 9 PM
Peet's Coffee,4.3(364) · $,2257 Market St,Coffeehouse chain also known for its tea,Open ⋅ Closes 7 PM
Peet's Coffee,4.3(433) · $,2300 16th St #240,Coffeehouse chain also known for its tea,Open ⋅ Closes 7 PM
Peet's Coffee,4.4(142) · $,310 Broderick St,Coffeehouse chain also known for its tea,Open ⋅ Closes 6 PM
Peet's Coffee,4.4(245) · $,3419 California St,Coffeehouse chain also known for its tea,Open ⋅ Closes 7 PM
Peet's Coffee,4.3(215) · $,54 W Portal Ave,Coffeehouse chain also known for its tea,Open ⋅ Closes 7 PM · (415) 731-0375
Peet's Coffee,4.2(153) · $,595 Market St Suite 143,Coffeehouse chain also known for its tea,Open ⋅ Closes 4 PM
Peet's Coffee,4.2(352) · $,601 Van Ness Ave,Coffeehouse chain also known for its tea,Open ⋅ Closes 6 PM
Peet's Coffee,4.4(182) · $,625 8th St,Coffeehouse chain also known for its tea,Open ⋅ Closes 6 PM
Peet's Coffee,4.2(713) · $,773 Market St,Coffeehouse chain also known for its tea,Open ⋅ Closes 7 PM
Peet's Coffee,4.3(145) · $,Two Embarcadero Center,Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM
Philz Coffee,"4.5(1,227) · $$",1 Front St #100,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,4.4(524) · $$,1110 Ocean Ave,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM · (415) 841-1178
Philz Coffee,4.6(521) · $$,1775 17th St,Custom-blended java in a casual setting,Open ⋅ Closes 4:30 PM
Philz Coffee,4.5(919) · $$,201 Berry St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,4.6(877) · $$,300 Folsom St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM · (415) 230-6359
Philz Coffee,"4.6(1,365) · $$",3101 24th St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,4.4(616) · $$,399 Golden Gate Ave,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,4.0(42) · $$,425 Mission St Suite 100,Funky venue for Oakland-roasted coffee,Open ⋅ Closes 4 PM
Philz Coffee,4.5(433) · $$,4298 24th St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,"4.5(1,137) · $$",5 Embarcadero Ctr,Custom-blended java in a casual setting,Open ⋅ Closes 6 PM
Philz Coffee,4.5(921) · $$,549 Castro St,Custom-blended java in a casual setting,Open ⋅ Closes 6 PM
Piccino Coffee Bar & Bakery,4.4(139),845 22nd St,Open ⋅ Closes 5:30 PM,
Pinhole Coffee,4.7(486) · $$,231 Cortland Ave,Storefront coffeehouse with pastry,Open ⋅ Closes 5:30 PM
Planet Cafe,4.7(45) · $,244 Gough St,Revamped American cafe for casual bites,Open ⋅ Closes 2 PM
Precita Park Cafe & Grill,4.3(626) · $$,500 Precita Ave,"Fresh, local ingredients & a varied menu",Open ⋅ Closes 5 PM
Progressive Grounds,4.5(385) · $,400 Cortland Ave,Coffeehouse with ice cream & patio,Open ⋅ Closes 6 PM
Radiator coffee salon,3.7(18),299 2nd St,Closed ⋅ Opens 6 AM Fri,Closes soon ⋅ 2 PM ⋅ Opens 7:30 AM Fri
Red Bay Coffee,0.0(0),650 California St,Temporarily closed,
Red Bay Coffee Ferry Building,4.1(175),"1, Ferry Building, Shop 43",Open ⋅ Closes 6 PM,
Red Door Coffee,4.3(185) · $$,111 Minna St,Temporarily closed · (415) 974-1719,
Réveille Coffee Co.,4.3(743) · $$,200 Columbus Ave,Modern cafe with New American fare,Open ⋅ Closes 4 PM
Réveille Coffee Co.,3.8(4),768 Sansome St,Temporarily closed,
Rise & Grind Coffee and Tea,4.5(376) · $,785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 5 PM
Ritual Coffee Roasters,"4.3(1,520) · $$",1026 Valencia St,Coffeehouse using small-farm beans,Open ⋅ Closes 7 PM
Ritual Coffee Roasters,4.4(443) · $$,1300 Haight St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM
Ritual Coffee Roasters,4.5(457) · $$,432b Octavia St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM
Robin's Café,4.6(176) · $$,3153 17th St #1332,Bright coffee shop with light fare,Open ⋅ Closes 4 PM
Rose's Cafe,4.4(834) · $$,2298 Union St,Relaxed Italian cafe with a terrace,Open ⋅ Closes 9 PM
Royal Ground Coffee,4.5(225) · $,2216 Polk St,Coffee shop with beer & snacks,Open ⋅ Closes 6 PM
Royal Ground Coffee,4.7(183) · $,2342 Clement St,Coffee shop with beer & snacks,Open ⋅ Closes 5 PM · (415) 387-5282
Royal Ground Coffee,4.2(115) · $,5301 Geary Blvd,Corner coffee shop with beer & snacks,Open ⋅ Closes 5 PM · (415) 635-0620
Saint Frank Coffee,"4.5(1,062) · $$",2340 Polk St,Bright & spacious local coffeehouse,Open ⋅ Closes 6 PM
Sammie Cafe,5.0(4),881 Post Street,Closed ⋅ Opens 8 AM Fri,Open ⋅ Closes 9 PM
Sammy's Cafe,4.6(128) · $,1416 Bush St,Homey breakfast & sandwich establishment,Open ⋅ Closes 6 PM
San Francisco Coffee Company,4.7(12),70 13th St,Open ⋅ Closes 5 PM,
San Francisco Coffee Roasting Company,4.5(388) · $,1192 North Highland Avenue Northeast,House-roasted coffee & fresh pastries,Open ⋅ Closes 5 PM · (404) 876-8816
San Francisco Coffee Roasting Company,4.4(274) · $,1660 DeKalb Ave NE # 100,High-quality coffees & light fare,Closed ⋅ Opens 7 AM Tue · (404) 377-2588
Sana’a cafe,4.9(99),199 New Montgomery St,Open ⋅ Closes 10 PM · (415) 932-6935,
Schilling & Co Cafe,4.6(48) · $$,667 Commercial St,Closed ⋅ Opens 8 AM Fri,
Scullery,4.7(350) · $,687 Geary St,"Tiny, artsy cafe for coffee & pastries",Open ⋅ Closes 2 PM
Scullery,4.7(345) · $,687 Geary St,"Tiny, artsy cafe for coffee & pastries",
Seismic Joint,2.8(22),"Pier 15, 698 The Embarcadero",Museum cafe with coffee & sweet treats,
Sextant Coffee Roasters,4.5(604) · $$,1415 Folsom St,Coffeehouse with exposed brick & beams,Open ⋅ Closes 4 PM
Sightglass Coffee,"4.5(2,850) · $$",270 7th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Sightglass Coffee,4.4(476) · $$,301 Divisadero St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
