NOOK,4.5(319) · $$,1500 Hyde St,Cafe/wine bar with cable car views,Open ⋅ Closes 6 PM
Bluestone Lane Theatre District Coffee Shop,4.1(107) · $$,562 Sutter St,Open ⋅ Closes 2 PM,
The Morning Fix,4.6(68) · $,1008 Bush St,"Pit stop for coffee, bagels & sandwiches",Open ⋅ Closes 2 PM
Mercury Cafe,4.3(313) · $$,201 Octavia St,Light-filled space with an organic menu,Open ⋅ Closes 3 PM
Cafe Venue Montgomery,4.2(94) · $,218 Montgomery St,Quick-serve breakfast & lunch,Open ⋅ Closes 2 PM
Sweetheart Cafe,4.2(211) · $,909 Grant Ave,Light Asian bites & sweet treats,Open ⋅ Closes 8 PM
Jane on Larkin,4.4(632) · $$,925 Larkin St,"Hip cafe with sandwiches, coffee & more",Open ⋅ Closes 4 PM
Blue Bottle Coffee,4.6(803) · $$,315 Linden St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 7 PM
Four Barrel Coffee,"4.5(2,392) · $$",375 Valencia St,Sophisticated drip coffee drinks & more,Open ⋅ Closes 5 PM
Eight AM Brunch,"4.6(1,446) · $$",1323 Columbus Ave,"Simple, bustling breakfast & lunch nook",Closes soon ⋅ 1:30 PM ⋅ Opens 8 AM Sat
Duboce Park Cafe,4.3(869) · $$,2 Sanchez St,Coffee shop with organic eats,Open ⋅ Closes 5 PM
Cafe 5,3.9(46),151 3rd St,Open ⋅ Closes 4:30 PM,
Blue Bottle Coffee,4.3(694) · $$,"1 Ferry Building, 7",Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
Cafe Murano,4.3(93) · $,1777 Steiner St,Cozy coffee bar with outdoor seating,Closes soon ⋅ 1:30 PM ⋅ Opens 7:30 AM Sat
Bluestone Lane Front Street Coffee Shop,4.3(134) · $$,227 Front St,Open ⋅ Closes 3 PM,
Crepe Cafe,"4.4(1,597) · $","Pier 39 D, 3",Chill spot for sweet & savory crepes,Open ⋅ Closes 9 PM
Working Girls' Cafe,4.4(209) · $,259 Kearny St,Outpost for breakfast & lunch staples,Open ⋅ Closes 4 PM
Cafecito,4.7(112) · $,406 Ellis St,Colorful cafe for sandwiches & coffee,Open ⋅ Closes 6 PM
Iron Horse Coffee Shop,4.5(109) · $,25 Maiden Ln,"Snug, modern coffee shop",Open ⋅ Closes 2:30 PM
Viva Cafe,4.9(80),601 Montgomery St,Open ⋅ Closes 5 PM,
Cafe 450,3.4(5),450 Golden Gate Ave,,
Cafe Pacific Plaza,4.8(101) · $,1338 Franklin St,Open ⋅ Closes 3:30 PM,
Scullery,4.7(348) · $,687 Geary St,"Tiny, artsy cafe for coffee & pastries",Open ⋅ Closes 2 PM
Cafe Du Soleil,4.7(164),345 3rd St,Quaint French cafe & brunch spot,Open ⋅ Closes 3 PM
Blue Bottle Coffee,4.5(694) · $$,2 S Park St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Coit Tower Cafe,3.7(9),Coit Tower,Open ⋅ Closes 6 PM,
Moka Coffee,4.0(142) · $,1605 Polk St,Local coffeehouse with pastries & WiFi,Open ⋅ Closes 3 PM
Le Petit Cafe,4.3(9) · $,1 Maritime Plz # Grnd,Counter serve for breakfast & lunch fare,Open ⋅ Closes 2 PM
901 Columbus,4.3(278) · $,901 Columbus Ave,Casual cafe with a daily happy hour,Open ⋅ Closes 8 PM
Hideaway Cafe,4.7(183),850 Jones St,Open ⋅ Closes 2 PM,
Bluestone Lane SOMA Coffee Shop,4.3(79) · $$,55 2nd St,Open ⋅ Closes 3 PM,
Brioche Bakery & Café,4.5(554) · $$,210 Columbus Ave,Casual spot for pastries & sandwiches,Open ⋅ Closes 7:30 PM
South Beach Cafe,4.2(343) · $,800 The Embarcadero,Coffee shop & pizzeria,Open ⋅ Closes 8:30 PM
Grand Coffee,4.7(159) · $,2663 Mission St,"Locally sourced coffee, tea & pastries",Open ⋅ Closes 5 PM
Schilling & Co Cafe,4.6(48) · $$,667 Commercial St,Open ⋅ Closes 2 PM,
Starbucks,3.7(769) · $$,499 Bay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Ritual Coffee Roasters,4.5(457) · $$,432b Octavia St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM
All Star Cafe,4.1(261) · $,1500 Market St,Compact cafe for Asian fare & donuts,Open 24 hours
Balboa Cafe,4.3(600) · $$,3199 Fillmore St,Bar/American bistro with outdoor seating,Open ⋅ Closes 2 AM
SPRO - Mission Dolores Castro,4.7(251),500 Church St,Minimalist cafe brewing craft coffee,Open ⋅ Closes 5 PM
Sweet Joanna's Cafe,4.3(157) · $,101 Howard St,Modern pit stop for breakfast & lunch,Open ⋅ Closes 3:30 PM
Caffe Moda,4.2(106) · $,160 7th St,Casual spot for breakfast & lunch,Open ⋅ Closes 2 PM
Good Luck Cafe and Deli,4.6(82) · $,621 Kearny St,No-frills deli with classic sandwiches,Open ⋅ Closes 7 PM
Cafe New Honolulu,3.8(190) · $,888 Stockton St,Cash-only Chinese restaurant & bakery,Open ⋅ Closes 7:30 PM
SF Breakfast Cafe,4.9(29),901 Sutter St,Open ⋅ Closes 9 PM,
Vesuvio Cafe,"4.6(1,485) · $$",255 Columbus Ave,Legendary bar & beatnik hangout,Open ⋅ Closes 2 AM
Pinhole Coffee,4.7(482) · $$,231 Cortland Ave,Storefront coffeehouse with pastry,Open ⋅ Closes 5:30 PM
SF Breakfast Cafe,4.9(29),901 Sutter St,Open ⋅ Closes 9 PM,
Yu’s Cafe,4.5(33) · $,57 Walter U Lum Pl,Open ⋅ Closes 10:30 PM,
Mamasang Cafe,No reviews,679 Sutter St #208,,
Starbucks,4.1(442) · $$,49 Jefferson St P,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM
Verve Coffee Roasters,4.4(677) · $$,2101 Market St,Modern coffeehouse with artisanal blends,Open ⋅ Closes 6 PM
Jane on Fillmore,4.2(822) · $$,2123 Fillmore St,Modern coffee shop with in-house bakery,Open ⋅ Closes 4 PM
Cafe Zoetrope,4.5(576) · $$,916 Kearny St,European-style cafe with a film theme,Open ⋅ Closes 9 PM
Urban Ritual Cafe,4.4(358) · $,488 Fell St,Craft tea & coffee shop with snacks,Open ⋅ Closes 10 PM
"La Boulangerie de San Francisco, Hayes",4.2(804) · $$,500 Hayes St,Cafe chain with American & French fare,Open ⋅ Closes 5 PM
Linea Caffe,4.5(333) · $$,3417 18th St,Snug cafe offering organic coffees,Open ⋅ Closes 2 PM
El Cafetazo,4.0(121) · $,3087 16th St,Coffee shop & juice bar,Open ⋅ Closes 3 PM
Higher Grounds Coffee House,4.6(274) · $$,691 Chenery St,Chill cafe with a neighborhood vibe,Open ⋅ Closes 3 PM
Bernie's,4.6(190) · $,3966 24th St,Coffee & pastries in Victorian building,Open ⋅ Closes 2 PM
name,rating,address,description,openclose
Capital One Café,4.3(193) · $,101 Post St,Modern coffeehouse with free WiFi,Open ⋅ Closes 6 PM
Linea Caffe,4.5(333) · $$,3417 18th St,Snug cafe offering organic coffees,Open ⋅ Closes 2 PM
Saint Frank Coffee,"4.5(1,059) · $$",2340 Polk St,Bright & spacious local coffeehouse,Open ⋅ Closes 6 PM
The Coffee Movement,4.8(732) · $,1030 Washington St,"Snug, minimalist cafe for artisan brews",Open ⋅ Closes 4 PM
Caffe Trieste,"4.5(1,327) · $",601 Vallejo St.,Historic spot for coffee & live music,Open ⋅ Closes 10 PM
Home Coffee Roasters,4.7(344) · $,455 Grant Ave,Open ⋅ Closes 4 PM,
Mazarine Coffee,"4.5(1,514) · $$",720 Market St,Stylish cafe for espresso & light bites,Open ⋅ Closes 3 PM
Coffee Bar Montgomery,4.5(114) · $,101 Montgomery St,Locally roasted coffee & cafe fare,Closed ⋅ Opens 7 AM Mon
Bluestone Lane Union Square Coffee Shop,4.2(348) · $$,685 Market St,Airy spot for coffee & all-day eats,Open ⋅ Closes 2 PM
Red Bay Coffee Ferry Building,4.0(174),"1, Ferry Building, Shop 43",Open ⋅ Closes 6 PM,
Cafe Francisco,4.4(443) · $,2161 Powell St,Mediterranean & American eats plus art,Open ⋅ Closes 3 PM
Blue Bottle Coffee,4.3(694) · $$,"1 Ferry Building, 7",Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 6:30 PM
Wrecking Ball Coffee Roasters,4.4(511) · $$,2271 Union St,House-roasted coffee blends & pastries,Open ⋅ Closes 2 PM
Philz Coffee,"4.5(1,226) · $$",1 Front St #100,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,4.6(874) · $$,300 Folsom St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Blue Bottle Coffee,"4.5(1,171) · $$",115 Sansome St,Hip cafe for gourmet pastries & coffee,Open ⋅ Closes 5 PM
Philz Coffee,"4.5(1,134) · $$",5 Embarcadero Ctr,Custom-blended java in a casual setting,Open ⋅ Closes 6 PM
Sightglass Coffee,"4.5(2,844) · $$",270 7th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Bluestone Lane Theatre District Coffee Shop,4.1(107) · $$,562 Sutter St,Open ⋅ Closes 2 PM,
HITW Coffee,4.7(198) · $,524 Union St,Closed ⋅ Opens 9 AM Sat,
Goody Cafe,4.4(76),"Landmark Building C, 2 Marina Blvd",Open ⋅ Closes 5 PM,
Graffeo Coffee Roasting Co.,4.7(69),735 Columbus Ave,Coffeehouse with signature roasts,Open ⋅ Closes 5 PM
Compton’s Coffee House,4.8(166),1910 Fillmore St,Open ⋅ Closes 5 PM,
Another Cafe,4.4(456) · $,1191 Pine St,Airy spot for coffee & panini sandwiches,Open ⋅ Closes 8 PM
Caffe Capriccio,4.6(235) · $,2200 Mason St,Relaxed spot for sandwiches & salads,Open ⋅ Closes 4 PM
Coffee Bar-Kearny,5.0(19),433 Kearny St,Casual cafe with carefully sourced beans,Closed ⋅ Opens 7 AM Mon
Sextant Coffee Roasters,4.5(600) · $$,1415 Folsom St,Coffeehouse with exposed brick & beams,Open ⋅ Closes 4 PM
BeanStalk Cafe,4.5(591) · $,724 Bush St,Intimate spot for coffee & global bites,Open ⋅ Closes 2:30 PM
Iron Horse Coffee Shop,4.5(109) · $,25 Maiden Ln,"Snug, modern coffee shop",Open ⋅ Closes 2:30 PM
Blue Bottle Coffee,4.3(198) · $$,199 Sutter St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5:30 PM
Bluestone Lane Front Street Coffee Shop,4.3(134) · $$,227 Front St,Open ⋅ Closes 3 PM,
Scullery,4.7(348) · $,687 Geary St,"Tiny, artsy cafe for coffee & pastries",Open ⋅ Closes 2 PM
Beacon Coffee & Pantry,4.3(403) · $$,805 Columbus Ave,Artisanal coffee shop & specialty market,Open ⋅ Closes 2 PM
Müesi Cafe,4.5(123),2055 Union St Suite B,Open ⋅ Closes 5:30 PM,
Royal Ground Coffee,4.5(225) · $,2216 Polk St,Coffee shop with beer & snacks,Open ⋅ Closes 6 PM
Bluestone Lane SOMA Coffee Shop,4.3(79) · $$,55 2nd St,Open ⋅ Closes 3 PM,
Cup A Joe Coffeehouse,4.3(353) · $,896 Sutter St,Laid-back neighborhood coffee shop,Open ⋅ Closes 7 PM
Ritual Coffee Roasters,4.5(457) · $$,432b Octavia St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM
Starbucks,3.7(769) · $$,499 Bay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
Biscoff Coffee Corner,4.3(729) · $$,213 Pier 39,Snug cafe with pastries & smoothies,Open ⋅ Closes 10 PM
Coffee Bodega Farm-to-Table,4.7(215),1 California St,Open ⋅ Closes 4 PM,
Réveille Coffee Co.,4.3(741) · $$,200 Columbus Ave,Modern cafe with New American fare,Open ⋅ Closes 4 PM
Peet's Coffee,4.2(710) · $,773 Market St,Coffeehouse chain also known for its tea,Open ⋅ Closes 7 PM
Souvenir Coffee,4.7(66),1415 Larkin St,Open ⋅ Closes 4 PM,
Blue Bottle Coffee,4.5(694) · $$,2 S Park St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Starbucks,4.1(457) · $$,565 Clay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Cafe Bean,4.3(102) · $,800 Sutter St,Cozy spot for espresso & light fare,Open ⋅ Closes 5 PM
Equator Coffees,4.4(348) · $$,2 Marina Blvd,"Hip spot for coffee, tea & light eats",Open ⋅ Closes 5 PM
Jane on Larkin,4.4(632) · $$,925 Larkin St,"Hip cafe with sandwiches, coffee & more",Open ⋅ Closes 4 PM
Blue Bottle Coffee,4.6(803) · $$,315 Linden St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 7 PM
Four Barrel Coffee,"4.5(2,392) · $$",375 Valencia St,Sophisticated drip coffee drinks & more,Open ⋅ Closes 5 PM
Moka Coffee,4.0(142) · $,1605 Polk St,Local coffeehouse with pastries & WiFi,Open ⋅ Closes 3 PM
Jackson Place Café,4.6(75) · $,633 Battery St,Breakfast & lunch kiosk with a courtyard,Closed ⋅ Opens 8:30 AM Tue
The Mill,"4.5(1,771) · $$",736 Divisadero St,Airy coffee shop with breads & pastries,Open ⋅ Closes 5 PM
Peet's Coffee,4.2(225) · $,160 Jefferson St,Coffeehouse chain also known for its tea,Open ⋅ Closes 9 PM
Mymy,"4.5(1,615) · $$",1500 California St,Bright corner spot for big breakfasts,Open ⋅ Closes 2 PM
Foghorn Coffee,3.6(33),900 North Point St Suite E204B,Open ⋅ Closes 7 PM,
Philz Coffee,4.4(616) · $$,399 Golden Gate Ave,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Cafe Réveille,4.1(161),1998 Polk St,Open ⋅ Closes 7:30 PM,
Verve Coffee Roasters,4.4(677) · $$,2101 Market St,Modern coffeehouse with artisanal blends,Open ⋅ Closes 6 PM
Peet's Coffee,4.2(153) · $,595 Market St Suite 143,Coffeehouse chain also known for its tea,Open ⋅ Closes 4 PM
Starbucks,4.0(438) · $$,1560 Van Ness Ave,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Rise & Grind Coffee and Tea,4.5(373) · $,785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 5 PM
CoffeeShop,4.8(141),2761 21st St,"Espresso, tea, pastries & sidewalk seats",Open ⋅ Closes 5 PM
Flywheel Coffee Roasters,4.5(957),672 Stanyan St,Minimalist spot for hand-roasted java,Open ⋅ Closes 6 PM
Pinhole Coffee,4.7(482) · $$,231 Cortland Ave,Storefront coffeehouse with pastry,Open ⋅ Closes 5:30 PM
First Cup Café,4.4(51),2911 Van Ness Ave,Open ⋅ Closes 4 PM,
Latte Express,4.5(66),434 Beach St,Open ⋅ Closes 4 PM,
Lady Falcon Coffee Club,4.3(88),Park,Vintage coffee truck for espresso drinks,Open ⋅ Closes 4 PM
Fiddle Fig Cafe & Coffee,4.8(243) · $$,790 Lombard St,Open ⋅ Closes 4 PM,
Linea Caffe,4.5(333) · $$,3417 18th St,Snug cafe offering organic coffees,Open ⋅ Closes 2 PM
Starbucks,4.2(190) · $$,425 Battery St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5 PM
Mercury Cafe,4.3(313) · $$,201 Octavia St,Light-filled space with an organic menu,Open ⋅ Closes 3 PM
Abanico Coffee Roasters,4.8(141) · $,2121 Mission St,Easygoing cafe for Latin American drinks,Open ⋅ Closes 4 PM
CoffeeShop,4.7(233) · $,3139 Mission St,Locally roasted beans & sweet treats,Open ⋅ Closes 4 PM
Joy's Place,4.3(393) · $,611 Post St,Cozy coffee shop with Asian desserts,Open ⋅ Closes 8 PM
Souvenir Coffee,4.7(70),262 Divisadero St,Open ⋅ Closes 5 PM,
CoffeeSmith,4.8(39),401 Golden Gate Ave,Open ⋅ Closes 2:30 PM,
Capital One Café,4.3(193) · $,101 Post St,Modern coffeehouse with free WiFi,Open ⋅ Closes 6 PM
Blue Bottle Coffee,4.5(261) · $$,168 2nd St,Hip cafe chain for coffee & pastries,Open ⋅ Closes 5 PM
Blue Bottle Coffee,4.3(199) · $$,705 Market St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Starbucks,4.2(207) · $$,580 California St #150,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
CoffeeShop,4.8(141),2761 21st St,"Espresso, tea, pastries & sidewalk seats",Open ⋅ Closes 5 PM
Rise & Grind Coffee and Tea,4.5(373) · $,785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 5 PM
Flywheel Coffee Roasters,4.5(957),672 Stanyan St,Minimalist spot for hand-roasted java,Open ⋅ Closes 6 PM
Blue Bottle Coffee,4.3(199) · $$,705 Market St,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 5 PM
Andytown Coffee Roasters,4.6(191) · $$,"Rooftop, 181 Fremont Street, Park Level, Fremont St",Open ⋅ Closes 4 PM,
Blue Bottle Coffee,4.7(11) · $$,250 Howard St Suite 3A,Hip cafe for gourmet coffee & pastries,Open ⋅ Closes 3:30 PM
Starbucks,4.2(356) · $$,201 Spear St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5 PM
Hyatt Coffee Bar,3.7(32),345 Stockton St,Modern hotel lobby cafe with free Wi-Fi,Closes soon ⋅ 1 PM ⋅ Opens 6:30 AM Sat
Starbucks,4.2(207) · $$,580 California St #150,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
Souvenir Coffee,4.7(70),262 Divisadero St,Open ⋅ Closes 5 PM,
Starbucks,4.0(346) · $$,2165 Polk St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM
Linea Caffe,4.5(333) · $$,3417 18th St,Snug cafe offering organic coffees,Open ⋅ Closes 2 PM
Latte Express,4.5(66),434 Beach St,Open ⋅ Closes 4 PM,
Peet's Coffee,3.8(24) · $,155 Montgomery St #161,Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM
Abanico Coffee Roasters,4.8(141) · $,2121 Mission St,Easygoing cafe for Latin American drinks,Open ⋅ Closes 4 PM
Mercury Cafe,4.3(313) · $$,201 Octavia St,Light-filled space with an organic menu,Open ⋅ Closes 3 PM
Philz Coffee,"4.6(1,361) · $$",3101 24th St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
CoffeeShop,4.7(233) · $,3139 Mission St,Locally roasted beans & sweet treats,Open ⋅ Closes 4 PM
Philz Coffee,4.5(918) · $$,201 Berry St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Pat's Cafe,"4.5(1,324) · $$",2330 Taylor St,American eatery with a laid-back brunch,Open ⋅ Closes 2 PM
Starbucks,3.8(243) · $$,359 Grant Ave,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6:30 PM
Starbucks,3.8(255) · $$,780 Market St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM
Unexpected Era Café,4.8(42),614 Polk St,Open ⋅ Closes 2:30 PM,
Vip Coffee & Cake Shop,3.8(161) · $,671 Broadway,Asian pastries & snacks in relaxed digs,Open ⋅ Closes 6 PM
Hideaway Cafe,4.7(183),850 Jones St,Open ⋅ Closes 2 PM,
Higher Grounds Coffee House,4.6(274) · $$,691 Chenery St,Chill cafe with a neighborhood vibe,Open ⋅ Closes 3 PM
Philz Coffee,4.6(519) · $$,1775 17th St,Custom-blended java in a casual setting,Open ⋅ Closes 4:30 PM
Piccino Coffee Bar & Bakery,4.4(139),845 22nd St,Open ⋅ Closes 5:30 PM,
Martha & Brothers Coffee Company,4.5(297) · $,3868 24th St,Low-key stop for coffee & baked goods,Open ⋅ Closes 7:30 PM
Telescope Coffee,4.8(134),345 6th St,Casual hub for treats & creative coffees,Open ⋅ Closes 4 PM
Cumaica  Artesanos del Cafe,4.4(277) · $,1398 Mission St,Caffeine cafe with creative drinks,Open ⋅ Closes 2 PM
Ritual Coffee Roasters,4.4(442) · $$,1300 Haight St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM
Jane on Fillmore,4.2(822) · $$,2123 Fillmore St,Modern coffee shop with in-house bakery,Open ⋅ Closes 4 PM
name,rating,address,description,openclose
Saint Frank Coffee,"4.5(1,059) · $$",2340 Polk St,Bright & spacious local coffeehouse,Open ⋅ Closes 6 PM · (415) 881-8062
Cafe Francisco,4.4(443) · $,2161 Powell St,Mediterranean & American eats plus art,Open ⋅ Closes 3 PM · (415) 397-2602
Home Coffee Roasters,4.7(344) · $,455 Grant Ave,Open ⋅ Closes 4 PM,
Graffeo Coffee Roasting Co.,4.7(69),735 Columbus Ave,Coffeehouse with signature roasts,Open ⋅ Closes 5 PM · (800) 222-6250
Caffe Trieste,"4.5(1,327) · $",601 Vallejo St.,Historic spot for coffee & live music,Open ⋅ Closes 10 PM · (415) 392-6739
The Coffee Movement,4.8(732) · $,1030 Washington St,"Snug, minimalist cafe for artisan brews",Open ⋅ Closes 4 PM · (415) 237-3375
Caffe Greco,"4.5(1,191) · $$",423 Columbus Ave,Espresso drinks & Italian sweets,Open ⋅ Closes 12 AM · (415) 397-6261
San Francisco Coffee Company,4.7(12),70 13th St,Open ⋅ Closes 5 PM · (415) 626-7956,
Sextant Coffee Roasters,4.5(600) · $$,1415 Folsom St,Coffeehouse with exposed brick & beams,Open ⋅ Closes 4 PM · (415) 355-1415
